id,index,station_name,type
318,43221,Ongole,SURFACE
319,42099,Ludhiana,SURFACE
320,42450,Bundi,SURFACE
321,42639,New Kandla,SURFACE
322,42123,Sriganganagar,SURFACE
323,42174,Pilani,SURFACE
324,43321,Coimbatore,SURFACE
325,43329,Cuddalore,SURFACE
326,43339,Kodaikanal,SURFACE
327,43301,Dharmapuri.,SURFACE
328,43377,Kanyakumari,SURFACE
329,42066,Kalpa,SURFACE
330,1213,RKM,SURFACE
331,42043,Batote,SURFACE
332,42358,Bhind,SURFACE
333,42034,Leh,SURFACE
334,42115,Mana,SURFACE
335,42595,Jamui,SURFACE
336,14223,Tirumala,SURFACE
337,42106,Solan (Nauni),SURFACE
338,43,Nimmu,SURFACE
339,42419,Gohpur,SURFACE
340,43018,Hingoli,SURFACE
341,9201,Gund,SURFACE
342,9202,Digar,SURFACE
343,42552,Rawatbhata,SURFACE
344,43230,Kadajji,SURFACE
345,42759,Kannod,SURFACE
346,42084,AMS Shimla,SURFACE
347,42104,Nahan,SURFACE
348,5214,Ranageeth,SURFACE
349,42117,Chamoli,SURFACE
350,42108,Uttarkashi,SURFACE
351,42643,Radhanpur,SURFACE
352,42529,Deomali,SURFACE
353,43259,Balehonnur,SURFACE
354,42963,Ambikapur,SURFACE
355,9205,Mulbeck,SURFACE
356,42105,Chandigarh,SURFACE
357,42176,Rohtak,SURFACE
358,43349,Vedaranyam,SURFACE
359,43359,Madurai Town.,SURFACE
360,42381,Azamgarh,SURFACE
361,8205,Chamba,SURFACE
362,42782,Bilaspur,SURFACE
363,43322,Chamaraja nagar,SURFACE
364,43075,Osmanabad,SURFACE
365,5212,Jamuna Chetti,SURFACE
366,43093,Bailadilla,SURFACE
367,43272,Chintamani,SURFACE
368,15212,Koradacheri.,SURFACE
369,42599,Dumka,SURFACE
370,43345,Kudimianmalai.,SURFACE
371,43381,Manamelkudi.,SURFACE
372,42141,Jolly Grant,SURFACE
373,42217,Tadong,SURFACE
374,43089,Sironcha,SURFACE
375,42799,Jamshedpur city,SURFACE
376,42795,Chaibasa,SURFACE
377,42524,Halflong,SURFACE
378,42041,Konibal,SURFACE
379,43340,Yercaud.,SURFACE
380,9207,Pendras,SURFACE
381,43012,Jalna,SURFACE
382,42475,Allahabad,SURFACE
383,42121,Munsiyari,SURFACE
384,42783,Janjgir(Champa),SURFACE
385,43125,Bidar,SURFACE
386,15205,Mettur Dam.,SURFACE
387,5213,Kharsali,SURFACE
388,42029,Sonemarg,SURFACE
389,42031,Kupwara,SURFACE
390,42514,Mawsynram,SURFACE
391,42884,Raigarh,SURFACE
392,42046,Kukernag,SURFACE
393,42028,Pahalgam,SURFACE
394,43357,Thrissur,SURFACE
395,42729,Mandvi,SURFACE
396,42216,Along,SURFACE
397,42305,Bomdila,SURFACE
398,42953,Kanker(EMO),SURFACE
399,42512,Barapani,SURFACE
400,42076,AMS Kangra,SURFACE
401,43341,Valparai.,SURFACE
402,42178,Gurgaon,SURFACE
403,42119,Malari,SURFACE
404,42449,PBO Kota,SURFACE
405,42948,Rajnandgaon,SURFACE
406,42116,Joshimath,SURFACE
407,43264,Chikkanahalli,SURFACE
408,42753,Alirajpur,SURFACE
409,42790,Jashpurnagar,SURFACE
410,42118,Kanjalia Tok,SURFACE
411,43324,Ariyalur.,SURFACE
412,42547,Neemuch,SURFACE
413,42060,Kathua,SURFACE
414,43180,Vijayawada,SURFACE
415,42903,Sagar Island,SURFACE
416,43076,Udgir,SURFACE
417,42319,Daporizo,SURFACE
418,42746,Dahej,SURFACE
419,42107,Dharampur,SURFACE
420,43318,Coonoor.,SURFACE
421,42048,Bhaderwah,SURFACE
422,42258,Bharatpur,SURFACE
423,42447,Bhilwara,SURFACE
424,42030,Dras,SURFACE
425,9204,Khangral,SURFACE
426,43343,Tiruchirapalli (ND),SURFACE
427,42872,Mana Raipur,SURFACE
428,43060,Matheran,SURFACE
429,42703,Dhanbad,SURFACE
430,42699,Hazaribagh,SURFACE
431,42350,Bhiwani,SURFACE
432,8203,Kothi,SURFACE
433,8210,Gondla,SURFACE
434,8202,Koksar,SURFACE
435,42079,Sundernagar,SURFACE
436,42054,Katra,SURFACE
437,43205,Bellary,SURFACE
438,42346,Bansthali,SURFACE
439,42543,SMO Udaipur,SURFACE
